Player,TM,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA  
"Neale, Lachie",BL,19,249,80,262,511,14,13,,59,28,81,103,52,21,12,31,237,267,4,8,16,4,2
"Macrae, Jack",WB,18,206,50,269,475,3,3,7,71,31,76,72,46,29,10,15,185,298,3,,24,4,5
"Lloyd, Jake",SY,17,284,81,155,439,1,,,37,96,23,12,31,11,5,3,104,240,3,,37,1,4
"Gaff, Andrew",WC,18,251,81,186,437,5,4,,42,29,58,41,43,15,7,8,130,300,3,10,24,7,9
"Boak, Travis",PA,19,217,51,219,436,8,8,,72,15,79,96,40,13,7,21,191,247,2,6,16,1,12
"Guthrie, Cameron",GE,20,214,91,220,434,6,1,,83,33,48,76,54,17,18,14,161,260,3,5,16,4,7
"Menegola, Sam",GE,20,251,113,181,432,14,5,,32,37,63,52,53,3,14,5,144,291,7,11,20,1,11
"Adams, Taylor",CW,19,245,63,186,431,9,2,,103,19,63,99,64,29,23,11,204,231,4,4,26,3,5
"Mitchell, Tom",HW,17,172,52,257,429,2,1,,75,28,46,73,46,20,18,10,176,254,1,1,13,3,3
"Oliver, Clayton",ME,17,195,57,230,425,3,1,,92,27,64,110,69,22,22,14,227,203,3,1,13,1,9
"Dangerfield, Patrick",GE,20,273,77,151,424,16,16,,52,24,103,91,67,31,26,15,223,197,20,17,27,8,23
"Merrett, Zach",ES,16,221,69,199,420,2,2,,55,30,78,57,46,15,12,13,124,295,2,1,19,4,7
"Crouch, Matt",AD,16,162,44,256,418,2,3,,74,29,35,68,41,19,14,3,155,262,,1,11,1,1
"Steele, Jack",SK,19,204,72,213,417,11,2,,104,25,62,95,49,25,13,20,209,208,8,9,27,2,11
"Lyons, Jarryd",BL,19,255,64,156,411,4,10,,77,17,75,98,43,22,12,9,200,188,4,4,22,,10
"Petracca, Christian",ME,17,201,58,199,400,15,14,,55,20,69,65,60,18,16,20,216,199,7,15,13,2,13
"Martin, Dustin",RI,19,235,51,157,392,18,11,1,43,2,103,71,80,12,22,15,195,186,16,13,34,14,12
"Whitfield, Lachie",GW,17,224,111,166,390,1,2,,34,67,39,26,49,15,12,4,91,280,5,3,24,2,7
"Laird, Rory",AD,17,186,46,203,389,3,1,,69,54,47,52,56,19,20,4,150,248,1,1,18,1,4
"Duncan, Mitch",GE,19,243,116,139,382,12,8,,64,37,52,35,53,13,14,5,101,279,5,11,18,12,16
"Smith, Bailey",WB,18,190,30,192,382,6,9,,45,21,64,61,38,7,11,7,133,252,1,2,8,7,5
"Parker, Luke",SY,17,190,54,187,377,6,5,,84,23,52,82,66,22,21,15,192,174,4,7,31,,6
"Bontempelli, Marcus",WB,18,211,59,164,375,11,7,1,88,23,78,93,65,15,23,10,175,213,12,11,55,,11
"Short, Jayden",RI,20,279,111,96,375,,4,,21,88,48,9,30,10,8,3,88,235,5,2,29,26,3
"Wines, Ollie",PA,17,177,30,194,371,8,5,,64,16,65,81,40,23,10,10,180,186,,3,18,,6
"Rockliff, Tom",PA,16,191,36,174,365,4,3,,100,19,40,65,43,19,10,10,147,206,,1,20,,1
"Higgins, Shaun",NM,17,186,63,177,363,4,1,,50,40,46,33,45,14,15,2,96,260,1,2,15,4,4
"Daniel, Caleb",WB,18,225,59,138,363,3,2,,42,69,29,20,30,10,9,3,110,203,,,40,7,2
"Crisp, Jack",CW,19,220,91,143,363,2,2,,58,48,55,22,48,14,11,5,103,266,7,,51,7,6
"Kelly, Tim",WC,18,208,46,153,361,5,4,,75,34,73,73,62,10,15,11,159,208,1,2,11,2,18
"McCluggage, Hugh",BL,19,219,70,136,355,8,21,,52,34,63,42,34,13,6,4,149,216,1,9,23,,14
"Pendlebury, Scott",CW,15,175,38,179,354,1,2,1,45,13,62,65,40,19,3,13,144,212,,,39,1,10
"Billings, Jack",SK,19,205,78,147,352,11,6,,47,27,49,36,40,13,6,2,118,237,3,6,27,,6
"Walsh, Sam",CA,17,193,73,156,349,8,4,,47,26,66,45,52,7,14,8,143,213,2,1,13,4,5
"Maynard, Brayden",CW,19,254,78,95,349,,1,,47,72,38,11,49,17,18,,110,207,11,,55,,3
"Shiel, Dylan",ES,15,188,38,159,347,4,6,,52,20,58,74,40,18,9,6,143,190,,2,19,10,8
"Simpkin, Jy",NM,17,171,37,173,344,6,5,,63,19,43,74,67,21,27,8,163,184,2,4,16,4,3
"McDonald, Luke",NM,17,209,68,135,344,,,,44,85,28,12,44,7,17,2,88,202,7,1,40,,
"Dumont, Trent",NM,17,176,52,166,342,3,4,,76,28,52,56,28,18,8,,133,211,2,4,19,,5
"Langdon, Ed",ME,17,216,88,125,341,2,8,,22,35,53,24,39,6,12,,94,245,4,4,14,8,2
"Miller, Touk",GC,17,177,50,163,340,3,4,,88,29,40,66,47,31,14,3,158,198,1,2,28,,7
"Brayshaw, Andrew",FR,17,147,49,191,338,,3,,83,25,38,52,31,18,8,9,137,205,1,2,28,7,5
"Coniglio, Stephen",GW,16,196,44,141,337,5,8,,62,18,38,69,51,17,19,4,137,196,1,6,11,5,7
"Sheed, Dom",WC,17,172,55,164,336,8,3,,40,30,47,84,58,14,16,11,165,188,2,3,21,4,2
"Cripps, Patrick",CA,17,152,40,182,334,7,11,,81,10,53,101,61,38,25,10,202,136,11,10,24,3,1
"Liberatore, Tom",WB,16,150,31,182,332,5,3,,57,20,41,74,38,12,20,2,182,161,2,4,20,,5
"Hopper, Jacob",GW,17,159,40,168,327,1,7,,71,29,41,63,43,22,18,4,166,162,1,3,4,1,4
"Parish, Darcy",ES,17,146,27,180,326,7,4,,52,12,56,72,52,5,9,,156,173,1,4,11,,6
"Stewart, Tom",GE,17,247,119,77,324,,1,,20,92,34,11,31,3,12,1,73,200,10,1,53,,2
"Saad, Adam",ES,17,202,49,119,321,2,1,,34,76,50,11,33,10,8,2,85,209,2,,62,12,3
"Byrne-Jones, Darcy",PA,19,204,64,117,321,,2,,34,39,35,45,46,17,7,2,126,196,3,2,36,7,3
"Curnow, Ed",CA,17,212,42,108,320,4,3,,88,27,64,71,51,13,18,5,153,156,3,1,24,1,6
"Viney, Jack",ME,16,166,40,152,318,5,4,,67,13,68,82,55,28,15,6,175,152,4,2,22,,10
"Ryan, Luke",FR,17,251,88,65,316,,,,20,112,12,5,29,11,13,6,71,157,5,,80,7,1
"Gray, Robbie",PA,19,127,40,188,315,15,7,,57,3,40,44,41,12,19,5,139,180,4,10,27,4,14
"Anderson, Jed",NM,15,177,41,138,315,3,4,,75,19,53,64,47,21,8,3,146,162,2,3,17,,10
"Murphy, Marc",CA,17,178,63,135,313,4,7,,37,14,51,41,45,11,18,2,106,199,,7,11,4,7
"Daicos, Josh",CW,18,169,68,143,312,10,3,,42,25,39,32,31,18,8,2,104,211,3,4,11,1,3
"Clark, Hunter",SK,18,188,64,122,310,1,1,,46,41,28,33,54,13,20,,112,199,2,1,19,,2
"McGrath, Andrew",ES,14,149,22,161,310,,1,,67,28,35,69,48,14,12,7,128,177,,,17,6,3
"Kelly, Josh",GW,14,177,42,132,309,5,8,,58,27,54,55,26,16,8,8,125,183,1,5,12,3,8
"Amon, Karl",PA,19,199,58,107,306,5,8,,55,35,50,29,48,8,15,1,86,225,3,5,22,4,6
"Jones, Zak",SK,16,157,47,147,304,5,8,,57,19,46,62,58,14,15,7,145,160,,4,11,8,7
"Ridley, Jordan",ES,17,211,110,93,304,,2,,20,71,16,7,25,10,8,,66,205,18,,86,2,4
"Greenwood, Hugh",GC,17,173,27,130,303,3,4,3,117,27,35,93,52,16,18,11,211,97,4,1,27,,6
"Tuohy, Zach",GE,18,228,72,74,302,8,7,,16,52,50,18,40,6,7,,76,200,3,5,19,1,3
"Salem, Christian",ME,16,200,64,101,301,2,,,41,59,32,9,40,4,11,,70,204,5,1,20,4,3
"Fyfe, Nat",FR,14,130,43,170,300,10,6,,42,16,32,64,45,19,18,10,175,127,16,11,34,,7
"Lambert, Kane",RI,19,131,57,168,299,9,3,,64,10,47,34,44,11,14,6,116,186,,5,26,,11
"Williams, Bailey",WB,18,202,82,96,298,3,2,,24,89,41,8,34,12,9,1,76,197,7,1,41,7,3
"Docherty, Sam",CA,16,216,83,82,298,,1,,19,83,30,8,37,15,6,1,83,183,2,,28,5,1
