battleNum,battleDetail,beginDate,endDate,unknownDay,latitude,longitude,shrtNm,desc,type,killed,usCasTot,csCasTot
0,,1864-01-28,1864-01-28,FALSE,-0.023518286,-0.023518286,,"Skirmish at Indian Creek, TN",Skirmish,0,0,0
1,,1865-04-02,1865-04-02,FALSE,-0.515018226,-0.515018226,,"Skirmish near Goldsborough, N. C.",Skirmish,0,0,0
2,TX005,1865-05-12,1865-05-13,FALSE,0.133255235,-0.499631468,,Battle at Palmetto Ranch,Battle,126,118,8
3,,1864-03-16,1864-03-16,FALSE,0.222193322,-0.827827431,,"Skirmish at Santa Rosa, Tex.",Skirmish,0,0,0
4,,1864-03-19,1864-03-19,FALSE,0.072488732,-0.26226368,,"Attack on Laredo, Tex.",Skirmish,0,0,0
5,,1862-08-16,1862-08-18,FALSE,0.122534766,-0.429164862,,"Bombardment of Corpus Christi, Tex.",Skirmish,0,0,0
6,,1864-03-17,1864-03-17,FALSE,0.133275482,-0.466783066,,"Affair at Corpus Christi, Tex.",Skirmish,0,0,0
7,,1864-03-22,1864-03-22,FALSE,0.111420942,-0.390239887,,"Affair at Corpus Christi, Tex.",Skirmish,0,0,0
8,,1864-02-13,1864-02-14,FALSE,0.14673996,-0.430341674,,"Skirmishes at Pease Creek, Fla.",Skirmish,0,0,0
9,,1864-02-20,1864-02-20,FALSE,0.228386333,-0.669784538,,"Skirmish at Pease Creek, Fla.",Skirmish,0,0,0
10,,1863-11-17,1863-11-17,FALSE,0.197816669,-0.688635339,,"Capture of Confederate battery at Aransas Pass, TX",Skirmish,0,0,0
11,FL004,1863-10-16,1863-10-18,FALSE,0.271486278,-0.801163228,,"Engagement at Fort Brooke, Fla.",Battle,0,0,0
12,,1863-12-25,1863-12-25,FALSE,0.128769603,-0.380002525,,"Engagement at Fort Brooke, Fla.",Battle,0,0,0
13,,1864-05-06,1864-05-06,FALSE,0.063983123,-0.188823678,,"Affair at Tampa, Fla.",Skirmish,0,0,0
14,,1862-05-25,1862-05-25,FALSE,0.019217228,-0.056692193,,"Affair between James and Dixon's Islands, S.C.",Skirmish,0,0,0
15,FL002,1862-06-30,1862-07-01,FALSE,0.066204932,-0.195309275,,"Bombardment of Tampa, Fla.",Skirmish,0,0,0
16,,1863-12-29,1863-12-29,FALSE,0.041316351,-0.140165183,,"Skirmish on Matagorda Peninsula, Tex.",Skirmish,0,0,0
17,,1863-02-24,1863-02-24,FALSE,0.240907934,-0.815237022,,"Capture of the Indianola, TX",Skirmish,0,0,0
18,,1864-02-22,1864-02-22,FALSE,0.033903958,-0.114731637,,"Affair near Indianola, Tex.",Skirmish,0,0,0
